CoRE-COFs ID; CoRE-COF-v2.0 ID (Tong et al.); name; dimension; atom types; reference; duplicate found; modifications;
13051N; 083; DAQ-TFP COF; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 16821-16824; 12000N; replicated 2x in C direction;
13060N; 196; Py-Azine COF; 2D; H,C,N; J. Am. Chem. Soc., 2013, 135, 17310-17313; none; replicated 2x in C direction;
13070N; 243; TpBD-2NO2; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13071N; 244; TPBD-ME2; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13072N; 245; TpBD-NH2; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13073N; 247; TpBD-NO2; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13074N; 248; TpBD-(OMe)2; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13075N; 254; TpPa-1-F2; 2D; H,C,N,O,F; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13076N; 257; TpPa-F4; 2D; H,C,N,O,F; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13077N; 258; TpPa-NO2; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13078N; 261; TpPa-SO3H; 2D; H,C,N,O,S; J. Am. Chem. Soc., 2013, 135, 17853-17861; none; replicated 2x in C direction;
13080N; 070; CS-COF; 2D; H,C,N; Nat. Commun., 2013, 4, 2736; none; replicated 2x in C direction;
13090N; 269; TT-COF; 2D; H,B,C,O,S; Angew. Chem. Int. Ed., 2013, 52, 2920-2924; none; replicated 2x in C direction;
13100N; 132; ILCOF-1-AA; 2D; H,C,N; Chem. Eur. J., 2013, 19, 3324-3328; none; replicated 2x in C direction;
13101N; 133; ILCOF-1-AB; 2D; H,C,N; Chem. Eur. J., 2013, 19, 3324-3328; none; none;
13110N; 079; CuP-SQ COF; 2D; H,C,N,O,Cu; Angew. Chem. Int. Ed., 2013, 52, 3770-3774; none; fixed missing Cu but the geometry of the ligand is wrong when compared to the paper, replicated 2x in C direction;
13120N; 170; PCTF-1; 2D; H,C,N; Chem. Commun., 2013, 49, 3961; none; replicated 2x in C direction;
13121N; 171; PCTF-2; 2D; H,C,N; Chem. Commun., 2013, 49, 3961; none; replicated 2x in C direction;
13122N; 172; PCTF-3; 2D; H,C,N; Chem. Commun., 2013, 49, 3961; none; replicated 2x in C direction;
13123N; 173; PCTF-4; 2D; H,C,N,S; Chem. Commun., 2013, 49, 3961; none; alligned to xy plan, replicated 2x in C direction;
13130N; 111; DTP-ANDI-COF; 2D; H,B,C,N,O; Chem. Sci., 2013, 4, 4505; none; replicated 2x in C direction;
13140N; 215; T-COF 1; 2D; H,B,C,O,S; Proc. Natl. Acad. Sci., 2013, 110, 4923-4928; none; replicated 2x in C direction;
13141N; 216; T-COF 2; 2D; H,B,C,O,S; Proc. Natl. Acad. Sci., 2013, 110, 4923-4928; none; replicated 2x in C direction;
13142N; 217; T-COF 3; 2D; H,B,C,O,S; Proc. Natl. Acad. Sci., 2013, 110, 4923-4928; none; replicated 2x in C direction;
13150N; 249; TpBD; 2D; H,C,N,O; J. Am. Chem. Soc., 2013, 135, 5328-5331; 16320N; replicated 2x in C direction;
13160N; 078; CuP-Ph COF; 2D; H,B,C,N,O,Cu; J. Am. Chem. Soc., 2013, 135, 546-549; none; replicated 2x in C direction;
13161N; 080; CuP-TFPh COF; 2D; H,B,C,N,O,F,Cu; J. Am. Chem. Soc., 2013, 135, 546-549; none; replicated 2x in C direction;
13170N; 067; CoPc-PorDBA; 2D; H,B,C,N,O; CrystEngComm, 2013, 15, 7157; none; alligned to xy plan, replicated 2x in C direction;
13180N; 152; NPN-1; 3D; H,C,N,O; Nat. Chem., 2013, 5, 830-834; none; none;
13181N; 153; NPN-2; 3D; H,C,N,O,Si; Nat. Chem., 2013, 5, 830-834; none; none;
13182N; 154; NPN-3; 3D; H,C,N,O; Nat. Chem., 2013, 5, 830-834; none; none;
14000N; 014; ACOF-1; 2D; H,C,N; Chem. Commun., 2014, 50, 13825-13828; none; replicated 2x in C direction;
14010N; 271; TTF-Py-COF; 2D; H,C,N,S; Chem. Eur. J., 2014, 20, 14608-14613; none; replicated 2x in C direction;
14020N; 058; COF-AA-H; 2D; H,C,N; J. Am. Chem. Soc., 2014, 136, 15885-15888; none; replicated 2x in C direction;
14030N; 237; Tp-Por COF-AA; 2D; H,B,C,N,O; J. Am. Chem. Soc., 2014, 136, 17802-17807 ; none; replicated 2x in C direction;
14031N; 238; Tp-Por COF-AB; 2D; H,B,C,N,O; J. Am. Chem. Soc., 2014, 136, 17802-17807 ; none; none;
14040N; 230; TFPT-COF; 2D; H,C,N,O; Chem. Sci., 2014, 5, 2789-2793; none; replicated 2x in C direction;
14050N; 024; BF-COF-1; 3D; H,C; Angew. Chem. Int. Ed., 2014, 53, 2878-2882; none; none;
14051N; 025; BF-COF-2; 3D; H,C,N,O; Angew. Chem. Int. Ed., 2014, 53, 2878-2882; none; none;
14060N; 270; TTF-COF; 2D; H,C,N,S; Chem. Sci., 2014, 5, 4693-4700; none; replicated 2x in C direction;
14070N; 189; Py-2,2'-BPyPh-COF; 2D; H,C,N; Chem. Commun., 2014, 50, 6161; none; replicated 2x in C direction;
14071N; 190; Py-2,3-BPyPh-COF; 2D; H,C,N; Chem. Commun., 2014, 50, 6161; none; replicated 2x in C direction;
14072N; 191; Py-2,3-DHPh-COF; 2D; H,C,N,O; Chem. Commun., 2014, 50, 6161; none; replicated 2x in C direction;
14073N; 200; Py-DHPh COF; 2D; H,C,N,O; Chem. Commun., 2014, 50, 6161; none; replicated 2x in C direction;
14080N; 018; AzO-COF; 2D; H,B,C,N,O; CrystEngComm, 2014, 16, 6547; none; replicated 2x in C direction;
14090N; 232; Tp-Azo; 2D; H,C,N,O; J. Am. Chem. Soc., 2014, 136, 6570-6573; none; replicated 2x in C direction;
14091N; 239; Tp-Stb; 2D; H,C,N,O; J. Am. Chem. Soc., 2014, 136, 6570-6573; none; alligned to xy plan, replicated 2x in C direction;
